figure_number,figure_title,research_section,source_data,sample_count,figure_filename,generation_status,main_finding,important_limitation
14,Continuous navigation-target distribution,Segmentation and navigation targets,tabular/regression_targets.csv,395,02_segmentation_navigation/figure_14_continuous_navigation_target_distribution.png,generated,Offsets cover the normalized path-centre range among 395 eligible samples.,"These are geometry-derived labels, not measured steering commands."
15,Classical regression validation MAE comparison,Classical ML,classical_ml/regression_metrics.csv,56,03_classical_ml/figure_15_classical_regression_validation_mae_comparison.png,generated,All models are compared on the validation-only model-selection output.,A multi-model held-out test comparison is unavailable; all models use oracle ground-truth-mask features.
16,Classical regression validation RMSE comparison,Classical ML,classical_ml/regression_metrics.csv,56,03_classical_ml/figure_16_classical_regression_validation_rmse_comparison.png,generated,All models are compared on the validation-only model-selection output.,A multi-model held-out test comparison is unavailable; all models use oracle ground-truth-mask features.
17,Classical regression validation R² comparison,Classical ML,classical_ml/regression_metrics.csv,56,03_classical_ml/figure_17_classical_regression_validation_r²_comparison.png,generated,All models are compared on the validation-only model-selection output.,A multi-model held-out test comparison is unavailable; all models use oracle ground-truth-mask features.
18,Classical RF actual versus predicted offset,Classical ML,classical_ml/predictions_regression.csv,42,03_classical_ml/figure_18_classical_rf_actual_versus_predicted_offset.png,generated,The selected random forest is evaluated on saved oracle-feature test predictions.,Predictions are derived targets and model uses oracle features.
19,Classical RF residual distribution,Classical ML,classical_ml/predictions_regression.csv,42,03_classical_ml/figure_19_classical_rf_residual_distribution.png,generated,Residual spread reveals errors relative to geometry-derived offset targets.,Oracle feature source prevents deployment interpretation.
20,Directional classification confusion matrix,Classical ML,validated_results/classification/confusion_matrix.csv,16,03_classical_ml/figure_20_directional_classification_confusion_matrix.png,generated,"Metrics are recomputed with class order left, forward, right.",Only 16 test samples; class estimates are unstable.
21,RF permutation feature importance,Classical ML,classical_ml/feature_importance.csv,42,03_classical_ml/figure_21_rf_permutation_feature_importance.png,generated,Permutation importance is from the selected oracle random forest.,Importance is model- and subset-specific; negative values are retained.
22,ANFIS recorded validation-loss plot,ANFIS,figures/anfis/validation_loss.png,42,04_anfis/figure_22_anfis_recorded_validation_loss_plot.png,generated,Recovered original ANFIS visualization.,"Underlying epoch values are not exported, so the figure is reproduced as an image."
23,ANFIS membership functions,ANFIS,Not available in supplied executed outputs,,,requires additional evaluation,,Checkpoint serialization lacks independently documented membership-function extraction metadata.
24,ANFIS actual versus predicted offset,ANFIS,anfis/predictions.csv,42,04_anfis/figure_24_anfis_actual_versus_predicted_offset.png,generated,Plot uses saved ANFIS test predictions.,The ANFIS uses oracle features and only a 42-sample test set.
25,ANFIS residual distribution,ANFIS,anfis/predictions.csv,42,04_anfis/figure_25_anfis_residual_distribution.png,generated,Plot uses saved ANFIS test predictions.,The ANFIS uses oracle features and only a 42-sample test set.
26,ANFIS absolute error by sample,ANFIS,anfis/predictions.csv,42,04_anfis/figure_26_anfis_absolute_error_by_sample.png,generated,Plot uses saved ANFIS test predictions.,The ANFIS uses oracle features and only a 42-sample test set.
27,ANFIS response surface,ANFIS,Not available in supplied executed outputs,,,requires additional evaluation,,Requires checkpoint recovery evaluation with documented feature scaling and reference values.
28,custom_cnn validation MAE across epochs,CNN and transfer learning,deep_learning/training_history_custom_cnn.csv,20,05_deep_learning/figure_28_custom_cnn_validation_mae_across_epochs.png,generated,The saved history records validation MAE across 20 epochs.,Training/validation loss was not exported; this is not a loss curve.
29,mobilenetv3 validation MAE across epochs,CNN and transfer learning,deep_learning/training_history_mobilenetv3.csv,20,05_deep_learning/figure_29_mobilenetv3_validation_mae_across_epochs.png,generated,The saved history records validation MAE across 20 epochs.,Training/validation loss was not exported; this is not a loss curve.
30,resnet18 validation MAE across epochs,CNN and transfer learning,deep_learning/training_history_resnet18.csv,20,05_deep_learning/figure_30_resnet18_validation_mae_across_epochs.png,generated,The saved history records validation MAE across 20 epochs.,Training/validation loss was not exported; this is not a loss curve.
31,Deep-learning MAE comparison,CNN and transfer learning,validated_results/regression/recomputed_test_metrics.csv,42,05_deep_learning/figure_31_deep_learning_mae_comparison.png,generated,All three image models use predictions for the same 42 saved test IDs.,Scores concern provisional geometry-derived targets.
32,Deep-learning RMSE comparison,CNN and transfer learning,validated_results/regression/recomputed_test_metrics.csv,42,05_deep_learning/figure_32_deep_learning_rmse_comparison.png,generated,All three image models use predictions for the same 42 saved test IDs.,Scores concern provisional geometry-derived targets.
33,Deep-learning actual versus predicted offsets,CNN and transfer learning,deep_learning/predictions_*.csv,42,05_deep_learning/figure_33_deep_learning_actual_versus_predicted_offsets.png,generated,Model predictions are compared on common saved test image IDs.,No confidence intervals or repeated runs are available.
34,ResNet18 largest-error real test images,CNN and transfer learning,deep_learning/predictions_resnet18.csv plus phase_B_training_dataset/images,6,05_deep_learning/figure_34_resnet18_largest_error_real_test_images.png,generated,Panel shows the six highest absolute-error saved ResNet18 test predictions.,Errors are against derived offsets; it is not a segmentation-error analysis.
35,Overall test MAE comparison,Overall model comparison,validated_results/regression/recomputed_test_metrics.csv,42,06_model_comparison/figure_35_overall_test_mae_comparison.png,generated,Metrics are recomputed from available saved test predictions.,Classical RF and ANFIS are oracle-feature models; deep models use images.
36,Overall test RMSE comparison,Overall model comparison,validated_results/regression/recomputed_test_metrics.csv,42,06_model_comparison/figure_36_overall_test_rmse_comparison.png,generated,Metrics are recomputed from available saved test predictions.,Classical RF and ANFIS are oracle-feature models; deep models use images.
37,Overall test R² comparison,Overall model comparison,validated_results/regression/recomputed_test_metrics.csv,42,06_model_comparison/figure_37_overall_test_r²_comparison.png,generated,Metrics are recomputed from available saved test predictions.,Classical RF and ANFIS are oracle-feature models; deep models use images.
38,Deep-model size versus prediction error,Overall model comparison,deep_learning/model_metrics.csv,42,06_model_comparison/figure_38_deep_model_size_versus_prediction_error.png,generated,The deep checkpoints show a size/error trade-off.,Only deep model sizes are consistently stored; serialization details matter.
39,Deep-model latency versus prediction error,Overall model comparison,deep_learning/model_metrics.csv,42,06_model_comparison/figure_39_deep_model_latency_versus_prediction_error.png,generated,Saved deep-model timing values can be inspected alongside MAE.,Timing hardware/batch semantics require the notebook environment; no cross-family claim is made.
40,Absolute error distribution across models,Overall model comparison,saved regression prediction CSVs,42,06_model_comparison/figure_40_absolute_error_distribution_across_models.png,generated,All available regression models are aligned to common saved test image IDs.,RF/ANFIS use oracle features whereas deep models use images.
